{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 158	 logprob : -113.71	 J : 1.76	 LOS : 349.2	 TPP(won) : 168683.63
epoch : 159	 logprob : -114.69	 J : 9.25	 LOS : 334.8	 TPP(won) : 184208.13
epoch : 160	 logprob : -101.7	 J : -9.21	 LOS : 329.4	 TPP(won) : 121662.44
epoch : 161	 logprob : -112.87	 J : -4.02	 LOS : 365.0	 TPP(won) : 161158.62
epoch : 162	 logprob : -114.65	 J : 4.74	 LOS : 353.6	 TPP(won) : 179957.11
epoch : 163	 logprob : -111.66	 J : 1.54	 LOS : 347.8	 TPP(won) : 167667.98
epoch : 164	 logprob : -116.67	 J : 4.06	 LOS : 344.6	 TPP(won) : 173033.86
epoch : 165	 logprob : -119.75	 J : 8.26	 LOS : 365.2	 TPP(won) : 197823.11
epoch : 166	 logprob : -111.8	 J : 0.09	 LOS : 352.4	 TPP(won) : 165967.61
epoch : 167	 logprob : -110.55	 J : 5.2	 LOS : 335.8	 TPP(won) : 170016.73
epoch : 168	 logprob : -110.38	 J : 3.64	 LOS : 352.0	 TPP(won) : 174115.24
epoch : 169	 logprob : -105.43	 J : 5.22	 LOS : 314.0	 TPP(won) : 159760.18
epoch : 170	 logprob : -104.29	 J : 4.75	 LOS : 334.2	 TPP(won) : 163206.79
epoch : 171	 logprob : -113.41	 J : 7.94	 LOS : 337.4	 TPP(won) : 179739.94
epoch : 172	 logprob : -95.23	 J : -1.92	 LOS : 281.8	 TPP(won) : 118060.15
epoch : 173	 logprob : -100.88	 J : -3.81	 LOS : 355.4	 TPP(won) : 144850.06
epoch : 174	 logprob : -114.02	 J : -0.31	 LOS : 369.8	 TPP(won) : 172129.01
epoch : 175	 logprob : -96.68	 J : 3.19	 LOS : 306.2	 TPP(won) : 145829.1
epoch : 176	 logprob : -105.93	 J : 1.03	 LOS : 353.8	 TPP(won) : 169391.85
epoch : 177	 logprob : -106.94	 J : 0.38	 LOS : 341.8	 TPP(won) : 161827.84
epoch : 178	 logprob : -103.17	 J : 4.03	 LOS : 347.6	 TPP(won) : 176826.67
epoch : 179	 logprob : -110.11	 J : 9.81	 LOS : 341.8	 TPP(won) : 190287.44
epoch : 180	 logprob : -99.08	 J : -1.37	 LOS : 344.2	 TPP(won) : 155530.17
epoch : 181	 logprob : -101.74	 J : 4.79	 LOS : 334.0	 TPP(won) : 171121.83
epoch : 182	 logprob : -95.3	 J : 5.55	 LOS : 304.0	 TPP(won) : 154427.13
epoch : 183	 logprob : -98.95	 J : 6.84	 LOS : 313.4	 TPP(won) : 157926.52
epoch : 184	 logprob : -95.64	 J : 3.03	 LOS : 321.0	 TPP(won) : 150053.43
epoch : 185	 logprob : -95.16	 J : -0.58	 LOS : 325.2	 TPP(won) : 143000.42
epoch : 186	 logprob : -84.93	 J : -1.53	 LOS : 302.8	 TPP(won) : 123557.99
epoch : 187	 logprob : -92.68	 J : 8.58	 LOS : 304.6	 TPP(won) : 165053.48
epoch : 188	 logprob : -90.32	 J : 4.89	 LOS : 304.0	 TPP(won) : 151068.62
epoch : 189	 logprob : -92.48	 J : 6.36	 LOS : 310.2	 TPP(won) : 164487.15
epoch : 190	 logprob : -75.96	 J : 3.16	 LOS : 265.8	 TPP(won) : 119166.03
epoch : 191	 logprob : -87.17	 J : -0.22	 LOS : 318.4	 TPP(won) : 145153.98
epoch : 192	 logprob : -84.48	 J : 5.89	 LOS : 296.2	 TPP(won) : 155413.46
epoch : 193	 logprob : -83.95	 J : 4.04	 LOS : 304.8	 TPP(won) : 152438.08
epoch : 194	 logprob : -87.32	 J : 2.14	 LOS : 318.6	 TPP(won) : 151132.96
epoch : 195	 logprob : -78.6	 J : 1.68	 LOS : 296.0	 TPP(won) : 131323.5
epoch : 196	 logprob : -82.46	 J : -3.59	 LOS : 324.0	 TPP(won) : 137055.93
epoch : 197	 logprob : -58.27	 J : 1.81	 LOS : 228.4	 TPP(won) : 96621.05
epoch : 198	 logprob : -78.24	 J : 2.94	 LOS : 296.2	 TPP(won) : 139399.34
epoch : 199	 logprob : -76.17	 J : 2.75	 LOS : 292.4	 TPP(won) : 140783.68
epoch : 200	 logprob : -64.19	 J : -2.51	 LOS : 285.6	 TPP(won) : 108900.45
epoch : 201	 logprob : -78.16	 J : 4.1	 LOS : 301.8	 TPP(won) : 151548.6
epoch : 202	 logprob : -78.51	 J : 4.64	 LOS : 303.4	 TPP(won) : 156671.23
epoch : 203	 logprob : -73.5	 J : 3.57	 LOS : 291.2	 TPP(won) : 144636.07
epoch : 204	 logprob : -66.6	 J : 4.57	 LOS : 265.0	 TPP(won) : 130069.37
epoch : 205	 logprob : -72.61	 J : 2.2	 LOS : 290.2	 TPP(won) : 137409.77
epoch : 206	 logprob : -72.62	 J : 3.83	 LOS : 303.0	 TPP(won) : 151238.75
epoch : 207	 logprob : -59.2	 J : 3.23	 LOS : 240.0	 TPP(won) : 111017.13
epoch : 208	 logprob : -67.58	 J : -0.62	 LOS : 299.8	 TPP(won) : 127519.4
epoch : 209	 logprob : -64.3	 J : 7.2	 LOS : 241.0	 TPP(won) : 134000.49
epoch : 210	 logprob : -62.28	 J : 3.82	 LOS : 254.4	 TPP(won) : 127772.74
epoch : 211	 logprob : -64.87	 J : 0.16	 LOS : 301.6	 TPP(won) : 137125.23
epoch : 212	 logprob : -68.45	 J : 1.28	 LOS : 302.8	 TPP(won) : 143287.44
epoch : 213	 logprob : -65.12	 J : 4.69	 LOS : 280.0	 TPP(won) : 145697.67
